Id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
1085,46,self-employed,married,tertiary,0,137,1,1,unk0wn,5,may,246,1,-1,0,unk0wn,0
1086,51,blue-collar,married,primary,0,173,1,0,unk0wn,5,may,529,2,-1,0,unk0wn,0
1087,56,admin.,married,secondary,0,45,0,0,unk0wn,5,may,1467,1,-1,0,unk0wn,1
1088,41,technician,married,secondary,0,1270,1,0,unk0wn,5,may,1389,1,-1,0,unk0wn,1
1089,46,management,divorced,secondary,0,16,1,1,unk0wn,5,may,188,2,-1,0,unk0wn,0
1090,57,retired,married,secondary,0,486,1,0,unk0wn,5,may,180,2,-1,0,unk0wn,0
1091,42,management,single,secondary,0,50,0,0,unk0wn,5,may,48,1,-1,0,unk0wn,0
1092,30,technician,married,secondary,0,152,1,1,unk0wn,5,may,213,2,-1,0,unk0wn,0
1093,60,admin.,married,secondary,0,290,1,0,unk0wn,5,may,583,1,-1,0,unk0wn,0
1094,60,blue-collar,married,unk0wn,0,54,1,0,unk0wn,5,may,221,1,-1,0,unk0wn,0
1095,57,entrepreneur,divorced,secondary,0,-37,0,0,unk0wn,5,may,173,1,-1,0,unk0wn,0
1096,36,management,married,tertiary,0,101,1,1,unk0wn,5,may,426,1,-1,0,unk0wn,0
1097,55,blue-collar,married,secondary,0,383,0,0,unk0wn,5,may,287,1,-1,0,unk0wn,0
1098,60,retired,married,tertiary,0,81,1,0,unk0wn,5,may,101,1,-1,0,unk0wn,0
1099,39,technician,married,secondary,0,0,1,0,unk0wn,5,may,203,1,-1,0,unk0wn,0
1100,46,management,married,tertiary,0,229,1,0,unk0wn,5,may,197,1,-1,0,unk0wn,0
1101,44,blue-collar,married,secondary,0,-674,1,0,unk0wn,5,may,257,1,-1,0,unk0wn,0
1102,53,blue-collar,married,primary,0,90,0,0,unk0wn,5,may,124,1,-1,0,unk0wn,0
1103,52,blue-collar,married,primary,0,128,1,0,unk0wn,5,may,229,1,-1,0,unk0wn,0
1104,59,blue-collar,married,primary,0,179,1,0,unk0wn,5,may,55,3,-1,0,unk0wn,0
1105,27,technician,single,tertiary,0,0,1,0,unk0wn,5,may,400,1,-1,0,unk0wn,0
1106,44,blue-collar,married,secondary,0,54,1,0,unk0wn,5,may,197,1,-1,0,unk0wn,0
1107,47,technician,married,tertiary,0,151,1,0,unk0wn,5,may,190,1,-1,0,unk0wn,0
1108,34,admin.,married,secondary,0,61,0,1,unk0wn,5,may,21,1,-1,0,unk0wn,0
1109,59,retired,single,secondary,0,30,1,0,unk0wn,5,may,514,1,-1,0,unk0wn,0
1110,45,management,married,tertiary,0,523,1,0,unk0wn,5,may,849,2,-1,0,unk0wn,0
1111,29,services,divorced,secondary,0,31,1,0,unk0wn,5,may,194,1,-1,0,unk0wn,0
1112,46,technician,divorced,secondary,0,79,0,0,unk0wn,5,may,144,1,-1,0,unk0wn,0
1113,56,self-employed,married,primary,0,-34,1,1,unk0wn,5,may,212,2,-1,0,unk0wn,0
1114,36,blue-collar,married,primary,0,448,1,0,unk0wn,5,may,286,1,-1,0,unk0wn,0
1115,59,retired,divorced,primary,0,81,1,0,unk0wn,5,may,107,1,-1,0,unk0wn,0
1116,44,blue-collar,married,secondary,0,144,1,0,unk0wn,5,may,247,2,-1,0,unk0wn,0
1117,41,admin.,married,secondary,0,351,1,0,unk0wn,5,may,518,1,-1,0,unk0wn,0
1118,33,management,single,tertiary,0,-67,1,0,unk0wn,5,may,364,1,-1,0,unk0wn,0
1119,59,management,divorced,tertiary,0,262,0,0,unk0wn,5,may,178,1,-1,0,unk0wn,0
1120,57,technician,married,primary,0,0,0,0,unk0wn,5,may,98,1,-1,0,unk0wn,0
1121,56,technician,divorced,unk0wn,0,56,1,0,unk0wn,5,may,439,1,-1,0,unk0wn,0
1122,51,blue-collar,married,secondary,0,26,1,0,unk0wn,5,may,79,1,-1,0,unk0wn,0
1123,34,admin.,married,unk0wn,0,3,1,0,unk0wn,5,may,120,3,-1,0,unk0wn,0
1124,43,services,married,secondary,0,41,1,1,unk0wn,5,may,127,2,-1,0,unk0wn,0
1125,52,technician,married,tertiary,0,7,0,1,unk0wn,5,may,175,1,-1,0,unk0wn,0
1126,33,technician,single,secondary,0,105,1,0,unk0wn,5,may,262,2,-1,0,unk0wn,0
1127,29,admin.,single,secondary,0,818,1,1,unk0wn,5,may,61,1,-1,0,unk0wn,0
1128,34,services,married,secondary,0,-16,1,1,unk0wn,5,may,78,1,-1,0,unk0wn,0
1129,31,blue-collar,married,secondary,0,0,1,0,unk0wn,5,may,143,1,-1,0,unk0wn,0
1130,55,services,married,secondary,0,2476,1,0,unk0wn,5,may,579,1,-1,0,unk0wn,1
1131,55,management,married,unk0wn,0,1185,0,0,unk0wn,5,may,677,1,-1,0,unk0wn,0
1132,32,admin.,single,secondary,0,217,1,0,unk0wn,5,may,345,1,-1,0,unk0wn,0
1133,38,technician,single,secondary,0,1685,1,0,unk0wn,5,may,185,1,-1,0,unk0wn,0
1134,55,admin.,single,secondary,0,802,1,1,unk0wn,5,may,100,2,-1,0,unk0wn,0
1135,28,unemployed,single,tertiary,0,0,1,0,unk0wn,5,may,125,2,-1,0,unk0wn,0
1136,23,blue-collar,married,secondary,0,94,1,0,unk0wn,5,may,193,1,-1,0,unk0wn,0
1137,32,technician,single,secondary,0,0,1,0,unk0wn,5,may,136,1,-1,0,unk0wn,0
1138,43,services,single,unk0wn,0,0,0,0,unk0wn,5,may,73,1,-1,0,unk0wn,0
1139,32,blue-collar,married,secondary,0,517,1,0,unk0wn,5,may,528,1,-1,0,unk0wn,0
1140,46,blue-collar,married,secondary,0,265,1,0,unk0wn,5,may,541,1,-1,0,unk0wn,0
1141,53,housemaid,divorced,primary,0,947,1,0,unk0wn,5,may,163,1,-1,0,unk0wn,0
1142,34,self-employed,single,secondary,0,3,1,0,unk0wn,5,may,301,1,-1,0,unk0wn,0
1143,57,unemployed,married,tertiary,0,42,0,0,unk0wn,5,may,46,1,-1,0,unk0wn,0
1144,37,blue-collar,married,secondary,0,37,1,0,unk0wn,5,may,204,1,-1,0,unk0wn,0
1145,59,blue-collar,married,secondary,0,57,1,0,unk0wn,5,may,98,1,-1,0,unk0wn,0
1146,33,services,married,secondary,0,22,1,0,unk0wn,5,may,71,1,-1,0,unk0wn,0
1147,56,blue-collar,divorced,primary,0,8,1,0,unk0wn,5,may,157,2,-1,0,unk0wn,0
1148,48,unemployed,married,secondary,0,293,1,0,unk0wn,5,may,243,1,-1,0,unk0wn,0
1149,43,services,married,primary,0,3,1,0,unk0wn,5,may,186,2,-1,0,unk0wn,0
1150,54,blue-collar,married,primary,0,348,1,0,unk0wn,5,may,579,2,-1,0,unk0wn,0
1151,51,blue-collar,married,unk0wn,0,-19,1,0,unk0wn,5,may,163,2,-1,0,unk0wn,0
1152,26,student,single,secondary,0,0,1,0,unk0wn,5,may,610,2,-1,0,unk0wn,0
1153,40,management,married,tertiary,0,-4,1,0,unk0wn,5,may,2033,1,-1,0,unk0wn,0
1154,39,management,married,secondary,0,18,1,0,unk0wn,5,may,85,1,-1,0,unk0wn,0
1155,50,technician,married,primary,0,139,0,0,unk0wn,5,may,114,2,-1,0,unk0wn,0
1156,41,services,married,secondary,0,0,1,0,unk0wn,5,may,114,2,-1,0,unk0wn,0
1157,51,blue-collar,married,unk0wn,0,1883,1,0,unk0wn,5,may,57,1,-1,0,unk0wn,0
1158,60,retired,divorced,secondary,0,216,1,0,unk0wn,5,may,238,1,-1,0,unk0wn,0
1159,52,blue-collar,married,secondary,0,782,1,0,unk0wn,5,may,93,3,-1,0,unk0wn,0
1160,48,blue-collar,married,secondary,0,904,1,0,unk0wn,5,may,128,2,-1,0,unk0wn,0
1161,48,services,married,unk0wn,0,1705,1,0,unk0wn,5,may,107,1,-1,0,unk0wn,0
1162,39,technician,single,tertiary,0,47,1,0,unk0wn,5,may,181,1,-1,0,unk0wn,0
1163,47,services,single,secondary,0,176,1,0,unk0wn,5,may,303,2,-1,0,unk0wn,0
1164,40,blue-collar,married,secondary,0,1225,1,0,unk0wn,5,may,558,5,-1,0,unk0wn,0
1165,45,technician,married,secondary,0,86,1,0,unk0wn,5,may,270,1,-1,0,unk0wn,0
1166,26,admin.,single,secondary,0,82,1,0,unk0wn,5,may,228,1,-1,0,unk0wn,0
1167,52,management,married,tertiary,0,271,1,0,unk0wn,5,may,99,1,-1,0,unk0wn,0
1168,54,technician,married,secondary,0,1378,1,0,unk0wn,5,may,240,1,-1,0,unk0wn,0
1169,54,admin.,married,tertiary,0,184,0,0,unk0wn,5,may,673,2,-1,0,unk0wn,1
1170,50,blue-collar,married,primary,0,0,0,0,unk0wn,5,may,233,3,-1,0,unk0wn,0
1171,35,blue-collar,married,secondary,0,0,1,0,unk0wn,5,may,1056,1,-1,0,unk0wn,0
1172,44,services,married,secondary,0,1357,1,1,unk0wn,5,may,250,1,-1,0,unk0wn,0
1173,53,entrepreneur,married,unk0wn,0,19,1,0,unk0wn,5,may,252,1,-1,0,unk0wn,0
1174,35,retired,single,primary,0,434,0,0,unk0wn,5,may,138,1,-1,0,unk0wn,0
1175,60,admin.,divorced,secondary,0,92,1,0,unk0wn,5,may,130,1,-1,0,unk0wn,0
1176,53,admin.,divorced,secondary,0,1151,1,0,unk0wn,5,may,412,1,-1,0,unk0wn,0
1177,48,unemployed,married,secondary,0,41,1,0,unk0wn,5,may,179,2,-1,0,unk0wn,0
1178,34,technician,married,secondary,0,51,1,0,unk0wn,5,may,19,2,-1,0,unk0wn,0
1179,54,services,married,secondary,0,214,1,0,unk0wn,5,may,458,2,-1,0,unk0wn,0
1180,51,management,married,secondary,0,1161,1,0,unk0wn,5,may,717,1,-1,0,unk0wn,0
1181,31,services,married,tertiary,0,37,1,0,unk0wn,5,may,313,1,-1,0,unk0wn,0
1182,35,technician,divorced,secondary,0,787,1,0,unk0wn,5,may,683,2,-1,0,unk0wn,0
1183,35,services,married,secondary,0,59,1,0,unk0wn,5,may,1077,1,-1,0,unk0wn,0
1184,38,technician,married,secondary,0,253,1,0,unk0wn,5,may,416,1,-1,0,unk0wn,0
1185,36,admin.,married,tertiary,0,211,1,0,unk0wn,5,may,146,2,-1,0,unk0wn,0
1186,58,retired,married,primary,0,235,1,0,unk0wn,5,may,167,1,-1,0,unk0wn,0
1187,40,services,divorced,unk0wn,0,4384,1,0,unk0wn,5,may,315,1,-1,0,unk0wn,0
1188,54,management,married,secondary,0,4080,0,0,unk0wn,5,may,140,1,-1,0,unk0wn,0
1189,34,blue-collar,single,secondary,0,53,1,1,unk0wn,5,may,346,1,-1,0,unk0wn,0
1190,31,management,single,tertiary,0,0,1,0,unk0wn,5,may,562,1,-1,0,unk0wn,0
1191,51,retired,married,secondary,0,2127,1,0,unk0wn,5,may,172,1,-1,0,unk0wn,0
1192,33,management,married,tertiary,0,377,1,0,unk0wn,5,may,217,1,-1,0,unk0wn,0
1193,55,management,married,tertiary,0,73,1,0,unk0wn,5,may,142,2,-1,0,unk0wn,0
1194,42,admin.,married,secondary,0,445,1,0,unk0wn,5,may,67,1,-1,0,unk0wn,0
1195,34,blue-collar,married,secondary,0,243,1,0,unk0wn,5,may,291,1,-1,0,unk0wn,0
1196,33,blue-collar,single,secondary,0,307,1,0,unk0wn,5,may,309,2,-1,0,unk0wn,0
1197,38,services,married,secondary,0,155,1,0,unk0wn,5,may,248,1,-1,0,unk0wn,0
1198,50,technician,divorced,tertiary,0,173,0,1,unk0wn,5,may,98,1,-1,0,unk0wn,0
1199,43,management,married,tertiary,0,400,1,0,unk0wn,5,may,256,1,-1,0,unk0wn,0
1200,61,blue-collar,divorced,primary,0,1428,1,0,unk0wn,5,may,82,2,-1,0,unk0wn,0
1201,47,admin.,married,secondary,0,219,1,0,unk0wn,5,may,577,1,-1,0,unk0wn,0
1202,48,self-employed,married,tertiary,0,7,1,0,unk0wn,5,may,286,1,-1,0,unk0wn,0
1203,44,blue-collar,married,secondary,0,575,1,0,unk0wn,5,may,477,1,-1,0,unk0wn,0
1204,35,student,single,unk0wn,0,298,1,0,unk0wn,5,may,611,2,-1,0,unk0wn,0
1205,35,services,married,secondary,0,0,1,0,unk0wn,5,may,471,1,-1,0,unk0wn,0
1206,50,services,married,secondary,0,5699,1,0,unk0wn,5,may,381,2,-1,0,unk0wn,0
1207,41,management,married,tertiary,0,176,1,1,unk0wn,5,may,42,1,-1,0,unk0wn,0
1208,41,management,married,tertiary,0,517,1,0,unk0wn,5,may,251,1,-1,0,unk0wn,0
1209,39,services,single,unk0wn,0,257,1,0,unk0wn,5,may,408,1,-1,0,unk0wn,0
1210,42,retired,married,secondary,0,56,1,0,unk0wn,5,may,215,1,-1,0,unk0wn,0
1211,38,blue-collar,married,secondary,0,-390,1,0,unk0wn,5,may,287,1,-1,0,unk0wn,0
1212,53,retired,married,secondary,0,330,1,0,unk0wn,5,may,216,2,-1,0,unk0wn,0
1213,59,housemaid,divorced,primary,0,195,0,0,unk0wn,5,may,366,2,-1,0,unk0wn,0
1214,36,services,married,secondary,0,301,1,0,unk0wn,5,may,210,1,-1,0,unk0wn,0
1215,54,blue-collar,married,primary,0,-41,1,0,unk0wn,5,may,288,1,-1,0,unk0wn,0
1216,40,technician,married,tertiary,0,483,1,0,unk0wn,5,may,168,1,-1,0,unk0wn,0
1217,47,unk0wn,married,unk0wn,0,28,0,0,unk0wn,5,may,338,2,-1,0,unk0wn,0
1218,53,unemployed,married,unk0wn,0,13,0,0,unk0wn,5,may,410,3,-1,0,unk0wn,0
1219,46,housemaid,married,primary,0,965,0,0,unk0wn,5,may,177,1,-1,0,unk0wn,0
1220,39,management,married,tertiary,0,378,1,1,unk0wn,5,may,127,2,-1,0,unk0wn,0
1221,40,unemployed,married,secondary,0,219,1,0,unk0wn,5,may,357,1,-1,0,unk0wn,0
1222,28,blue-collar,married,primary,0,324,1,0,unk0wn,5,may,175,1,-1,0,unk0wn,0
1223,35,entrepreneur,divorced,secondary,0,-69,1,0,unk0wn,5,may,300,1,-1,0,unk0wn,0
1224,55,retired,married,secondary,0,0,0,1,unk0wn,5,may,136,1,-1,0,unk0wn,0
1225,43,technician,divorced,unk0wn,0,205,1,0,unk0wn,5,may,1419,1,-1,0,unk0wn,0
1226,48,blue-collar,married,primary,0,278,1,0,unk0wn,5,may,125,2,-1,0,unk0wn,0
1227,58,management,married,unk0wn,0,1065,1,0,unk0wn,5,may,213,3,-1,0,unk0wn,0
1228,33,management,single,tertiary,0,34,1,0,unk0wn,5,may,27,1,-1,0,unk0wn,0
1229,36,blue-collar,married,unk0wn,0,1033,0,0,unk0wn,5,may,238,2,-1,0,unk0wn,0
1230,53,services,divorced,secondary,0,1467,1,0,unk0wn,5,may,124,1,-1,0,unk0wn,0
1231,47,blue-collar,married,primary,0,-12,1,0,unk0wn,5,may,18,1,-1,0,unk0wn,0
1232,31,services,married,secondary,0,388,1,0,unk0wn,5,may,730,2,-1,0,unk0wn,0
1233,57,entrepreneur,married,secondary,0,294,1,0,unk0wn,5,may,746,2,-1,0,unk0wn,0
1234,53,blue-collar,married,unk0wn,0,1827,0,0,unk0wn,5,may,121,1,-1,0,unk0wn,0
1235,55,blue-collar,married,primary,0,627,1,0,unk0wn,5,may,247,1,-1,0,unk0wn,0
1236,45,blue-collar,married,primary,0,25,1,0,unk0wn,5,may,40,1,-1,0,unk0wn,0
1237,53,admin.,divorced,secondary,0,315,1,0,unk0wn,5,may,181,2,-1,0,unk0wn,0
1238,37,blue-collar,married,primary,0,0,1,0,unk0wn,5,may,79,1,-1,0,unk0wn,0
1239,44,admin.,divorced,secondary,0,66,1,0,unk0wn,5,may,206,1,-1,0,unk0wn,0
1240,49,blue-collar,divorced,primary,0,-9,1,1,unk0wn,5,may,389,1,-1,0,unk0wn,0
1241,46,technician,married,secondary,0,349,1,1,unk0wn,5,may,127,1,-1,0,unk0wn,0
1242,43,entrepreneur,married,unk0wn,0,100,1,0,unk0wn,5,may,702,1,-1,0,unk0wn,0
1243,38,admin.,married,secondary,0,0,0,0,unk0wn,5,may,151,1,-1,0,unk0wn,0
1244,43,technician,married,secondary,0,434,1,0,unk0wn,5,may,117,1,-1,0,unk0wn,0
1245,49,management,married,tertiary,0,3237,1,0,unk0wn,5,may,232,3,-1,0,unk0wn,0
1246,42,management,married,unk0wn,0,275,0,0,unk0wn,5,may,408,2,-1,0,unk0wn,0
1247,22,blue-collar,single,secondary,0,0,1,0,unk0wn,5,may,179,2,-1,0,unk0wn,0
1248,40,management,married,tertiary,0,207,1,0,unk0wn,5,may,39,1,-1,0,unk0wn,0
1249,39,blue-collar,married,secondary,0,483,1,0,unk0wn,5,may,282,1,-1,0,unk0wn,0
1250,51,services,married,secondary,0,2248,1,0,unk0wn,5,may,714,2,-1,0,unk0wn,0
1251,49,admin.,married,secondary,0,428,1,0,unk0wn,5,may,50,1,-1,0,unk0wn,0
1252,53,blue-collar,married,secondary,0,0,1,1,unk0wn,5,may,181,1,-1,0,unk0wn,0
1253,34,services,single,secondary,0,0,1,0,unk0wn,5,may,142,1,-1,0,unk0wn,0
1254,33,technician,divorced,secondary,0,140,1,0,unk0wn,5,may,227,1,-1,0,unk0wn,0
1255,50,management,single,tertiary,0,297,1,0,unk0wn,5,may,119,1,-1,0,unk0wn,0
1256,39,blue-collar,married,primary,0,279,1,0,unk0wn,5,may,361,1,-1,0,unk0wn,0
1257,59,entrepreneur,divorced,secondary,0,901,1,0,unk0wn,5,may,73,3,-1,0,unk0wn,0
1258,30,technician,single,secondary,0,2573,1,0,unk0wn,5,may,67,2,-1,0,unk0wn,0
1259,36,services,married,secondary,0,143,1,1,unk0wn,5,may,350,1,-1,0,unk0wn,0
1260,40,blue-collar,married,secondary,0,475,1,0,unk0wn,5,may,332,2,-1,0,unk0wn,0
1261,53,blue-collar,married,secondary,0,70,1,0,unk0wn,5,may,611,2,-1,0,unk0wn,0
1262,34,management,single,tertiary,0,318,1,0,unk0wn,5,may,113,2,-1,0,unk0wn,0
1263,37,technician,married,secondary,0,275,1,0,unk0wn,5,may,132,1,-1,0,unk0wn,0
1264,42,management,divorced,tertiary,0,742,1,0,unk0wn,5,may,58,3,-1,0,unk0wn,0
1265,41,entrepreneur,married,primary,0,236,1,0,unk0wn,5,may,151,1,-1,0,unk0wn,0
1266,30,student,single,tertiary,0,25,1,0,unk0wn,5,may,89,2,-1,0,unk0wn,0
1267,37,management,single,tertiary,0,600,1,0,unk0wn,5,may,152,1,-1,0,unk0wn,0
1268,39,admin.,divorced,secondary,0,-349,1,0,unk0wn,5,may,611,2,-1,0,unk0wn,0
1269,41,blue-collar,married,primary,0,183,1,1,unk0wn,5,may,110,2,-1,0,unk0wn,0
1270,40,blue-collar,married,primary,0,0,1,0,unk0wn,5,may,463,1,-1,0,unk0wn,0
1271,42,management,single,tertiary,0,0,1,1,unk0wn,5,may,562,2,-1,0,unk0wn,1
1272,40,blue-collar,divorced,primary,0,0,1,0,unk0wn,5,may,962,1,-1,0,unk0wn,0
1273,57,technician,married,secondary,0,1078,1,0,unk0wn,5,may,10,4,-1,0,unk0wn,0
1274,56,entrepreneur,divorced,secondary,0,155,0,0,unk0wn,5,may,118,3,-1,0,unk0wn,0
